Değişken,Önem düzeyi
İstihdam göstergesi,0.16999636936056045
Piyasa faiz göstergesi,0.15702529815553828
İstihdam değişim oranı,0.11884359246753488
Tüketici güven endeksi,0.0582550698505127
Tüketici fiyat endeksi,0.04937181422352584
Önceki kampanyadan geçen gün sayısı,0.04639128204123132
Yaş,0.04491021674817441
Önceki kampanya sonucu: başarılı,0.02733771350833123
Kampanya kapsamında arama sayısı,0.024273284186878782
Son iletişim ayı: mayıs,0.0231078792714742
İletişim kanalı: sabit telefon,0.023062737306997524
Önceki kampanya temas sayısı,0.02158611818955476
